Time	UE Id	DistanceX	DistanceY
29.2	1	434	-150
29.2	2	534	-150
29.3	0	336	-150
29.3	1	436	-150
29.3	2	536	-150
29.4	0	338	-150
29.4	1	438	-150
29.4	2	538	-150
29.5	0	340	-150
29.5	1	440	-150
29.5	2	540	-150
29.6	0	342	-150
29.6	1	442	-150
29.6	2	542	-150
29.7	0	344	-150
29.7	1	444	-150
29.7	2	544	-150
29.8	0	346	-150
29.8	1	446	-150
29.8	2	546	-150
29.9	0	348	-150
29.9	1	448	-150
29.9	2	548	-150
30	0	350	-150
30	1	450	-150
30	2	550	-150
30.1	0	352	-150
30.1	1	452	-150
30.1	2	552	-150
30.2	0	354	-150
30.2	1	454	-150
30.2	2	554	-150
30.3	0	356	-150
30.3	1	456	-150
30.3	2	556	-150
30.4	0	358	-150
30.4	1	458	-150
30.4	2	558	-150
30.5	0	360	-150
30.5	1	460	-150
30.5	2	560	-150
30.6	0	362	-150
30.6	1	462	-150
30.6	2	562	-150
30.7	0	364	-150
30.7	1	464	-150
30.7	2	564	-150
30.8	0	366	-150
30.8	1	466	-150
30.8	2	566	-150
30.9	0	368	-150
30.9	1	468	-150
30.9	2	568	-150
31	0	370	-150
31	1	470	-150
31	2	570	-150
31.1	0	372	-150
31.1	1	472	-150
31.1	2	572	-150
31.2	0	374	-150
31.2	1	474	-150
31.2	2	574	-150
31.3	0	376	-150
31.3	1	476	-150
31.3	2	576	-150
31.4	0	378	-150
31.4	1	478	-150
31.4	2	578	-150
31.5	0	380	-150
31.5	1	480	-150
31.5	2	580	-150
31.6	0	382	-150
31.6	1	482	-150
31.6	2	582	-150
31.7	0	384	-150
31.7	1	484	-150
31.7	2	584	-150
31.8	0	386	-150
31.8	1	486	-150
31.8	2	586	-150
31.9	0	388	-150
31.9	1	488	-150
31.9	2	588	-150
32	0	390	-150
32	1	490	-150
32	2	590	-150
32.1	0	392	-150
32.1	1	492	-150
32.1	2	592	-150
32.2	0	394	-150
32.2	1	494	-150
32.2	2	594	-150
32.3	0	396	-150
32.3	1	496	-150
32.3	2	596	-150
32.4	0	398	-150
32.4	1	498	-150
32.4	2	598	-150
32.5	0	400	-150
32.5	1	500	-150
32.5	2	600	-150
32.6	0	402	-150
32.6	1	502	-150
32.6	2	602	-150
