,% start,end,CellId,IMSI,RNTI,LCID,nTxPDUs,TxBytes,nRxPDUs,RxBytes,delay,stdDev,min,max,PduSize,stdDev.1,min.1,max.1,priority
664,16.0,16.25,1,5,5,3,25,26400,27,28512,0.000803702,0.00025187,0.000635713,0.00140357,1056,0,1056,1056,medium
665,16.0,16.25,1,6,6,3,50,26450,50,26450,0.000695355,4.44211e-05,0.00065357,0.000742855,529,138391,392,666,low
666,16.0,16.25,1,7,7,3,25,26400,25,26400,0.000754998,1.97775e-05,0.000689284,0.000760712,1056,0,1056,1056,medium
667,16.0,16.25,1,8,8,3,25,26400,25,26400,0.000772855,1.97775e-05,0.000707141,0.000778569,1056,0,1056,1056,medium
668,16.0,16.25,1,9,9,3,25,26400,25,26400,0.000790712,1.97775e-05,0.000724998,0.000796426,1056,0,1056,1056,high
669,16.0,16.25,1,10,10,3,25,26400,25,26400,0.000808569,1.97775e-05,0.000742855,0.000814283,1056,0,1056,1056,high
670,16.25,16.5,1,1,1,3,25,26400,25,26400,0.000662141,5.43393e-05,0.000635713,0.000796426,1056,0,1056,1056,high
671,16.25,16.5,1,2,2,3,25,26400,25,26400,0.000679998,5.43393e-05,0.00065357,0.000814283,1056,0,1056,1056,low
672,16.25,16.5,1,3,3,3,25,26400,25,26400,0.000689998,4.79375e-05,0.000635713,0.000796426,1056,0,1056,1056,low
673,16.25,16.5,1,4,4,3,25,26400,25,26400,0.000707855,4.79375e-05,0.00065357,0.000814283,1056,0,1056,1056,low
674,16.25,16.5,1,5,5,3,25,26400,26,27456,0.00075041,0.000191141,0.000635713,0.00140357,1056,0,1056,1056,medium
675,16.25,16.5,1,6,6,3,50,26450,50,26450,0.000691784,4.29917e-05,0.00065357,0.000742855,529,138391,392,666,low
676,16.25,16.5,1,7,7,3,25,26400,25,26400,0.000747855,2.70422e-05,0.000689284,0.000760712,1056,0,1056,1056,medium
677,16.25,16.5,1,8,8,3,25,26400,25,26400,0.000765712,2.70422e-05,0.000707141,0.000778569,1056,0,1056,1056,medium
678,16.25,16.5,1,9,9,3,25,26400,26,27456,0.000849311,0.000235632,0.000724998,0.00165357,1056,0,1056,1056,high
679,16.25,16.5,1,10,10,3,25,26400,25,26400,0.000801426,2.70422e-05,0.000742855,0.000814283,1056,0,1056,1056,high
680,16.5,16.75,1,1,1,3,25,26400,25,26400,0.000645713,3.46107e-05,0.000635713,0.000760712,1056,0,1056,1056,high
681,16.5,16.75,1,2,2,3,25,26400,25,26400,0.00066357,3.46107e-05,0.00065357,0.000778569,1056,0,1056,1056,low
